lookup_text,fbw_percent,fbs_percent,dbs_percent,edbs_percent,cc_percent,booking_percent,lookup_norm,category_name,subject_name,category_norm,subject_norm
Ручной инструмент и оснастка Головки торцевые,30.5,34.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка головки торцевые,Ручной инструмент и оснастка,Головки торцевые,ручной инструмент и оснастка,головки торцевые
Ручной инструмент и оснастка Нивелиры,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка нивелиры,Ручной инструмент и оснастка,Нивелиры,ручной инструмент и оснастка,нивелиры
Ручной инструмент и оснастка Аксессуары для компрессоров,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка аксессуары для компрессоров,Ручной инструмент и оснастка,Аксессуары для компрессоров,ручной инструмент и оснастка,аксессуары для компрессоров
Ручной инструмент и оснастка Поломоечные машины,31.0,34.5,25.0,3.0,21.5,21.5,ручной инструмент и оснастка поломоечные машины,Ручной инструмент и оснастка,Поломоечные машины,ручной инструмент и оснастка,поломоечные машины
Ручной инструмент и оснастка Проекторы отверстий,31.0,34.5,25.0,3.0,21.5,21.5,ручной инструмент и оснастка проекторы отверстий,Ручной инструмент и оснастка,Проекторы отверстий,ручной инструмент и оснастка,проекторы отверстий
Ручной инструмент и оснастка Масла для инструментов,30.0,33.5,25.0,3.0,21.5,21.5,ручной инструмент и оснастка масла для инструментов,Ручной инструмент и оснастка,Масла для инструментов,ручной инструмент и оснастка,масла для инструментов
Ручной инструмент и оснастка Киянки,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка киянки,Ручной инструмент и оснастка,Киянки,ручной инструмент и оснастка,киянки
Ручной инструмент и оснастка Круглогубцы,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка круглогубцы,Ручной инструмент и оснастка,Круглогубцы,ручной инструмент и оснастка,круглогубцы
Ручной инструмент и оснастка Захваты для листового материала,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка захваты для листового материала,Ручной инструмент и оснастка,Захваты для листового материала,ручной инструмент и оснастка,захваты для листового материала
Ручной инструмент и оснастка Лезвия для пистолетных ножей,30.5,34.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка лезвия для пистолетных ножей,Ручной инструмент и оснастка,Лезвия для пистолетных ножей,ручной инструмент и оснастка,лезвия для пистолетных ножей
Ручной инструмент и оснастка Насадки для шуруповерта,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка насадки для шуруповерта,Ручной инструмент и оснастка Насадки для,шуруповерта,ручной инструмент и оснастка насадки для,шуруповерта
Ручной инструмент и оснастка Губки для нанесения масла,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка губки для нанесения масла,Ручной инструмент и оснастка,Губки для нанесения масла,ручной инструмент и оснастка,губки для нанесения масла
Ручной инструмент и оснастка Валики малярные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка валики малярные,Ручной инструмент и оснастка,Валики малярные,ручной инструмент и оснастка,валики малярные
Ручной инструмент и оснастка Пинцеты монтажные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка пинцеты монтажные,Ручной инструмент и оснастка,Пинцеты монтажные,ручной инструмент и оснастка,пинцеты монтажные
Ручной инструмент и оснастка Восстановление резьбы,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка восстановление резьбы,Ручной инструмент и оснастка,Восстановление резьбы,ручной инструмент и оснастка,восстановление резьбы
Ручной инструмент и оснастка Стусла,26.5,30.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка стусла,Ручной инструмент и оснастка,Стусла,ручной инструмент и оснастка,стусла
Ручной инструмент и оснастка Насадки для реноваторов,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка насадки для реноваторов,Ручной инструмент и оснастка Насадки для,реноваторов,ручной инструмент и оснастка насадки для,реноваторов
